x_uncompressed,y_uncompressed,z_uncompressed,z_decompressed,y_decompressed,z_decompressed,distance
10.233,8.335,-0.218,-0.218,8.334,10.232,0.00141344
10.182,8.347,-0.217,-0.217,8.346,10.181,0.00141344
10.149,8.374,-0.217,-0.217,8.373,10.148,0.00141344
11.184,9.284,-0.261,-0.262,9.284,11.183,0.00141382
11.193,9.351,-0.262,-0.262,9.35,11.192,0.00141344
9.935,8.356,-0.211,-0.211,8.355,9.935,0.000999451
9.866,8.351,-0.209,-0.21,8.35,9.865,0.00173141
11.131,9.569,-0.265,-0.265,9.568,11.13,0.00141411
11.132,9.63,-0.267,-0.267,9.629,11.131,0.00141276
9.6,8.363,-0.203,-0.203,8.362,9.6,0.000999451
9.532,8.356,-0.201,-0.202,8.355,9.531,0.00173142
9.468,8.353,-0.2,-0.201,8.352,9.468,0.00141383
9.416,8.334,-0.198,-0.198,8.333,9.416,0.000999451
9.391,8.365,-0.198,-0.198,8.364,9.39,0.00141344
9.298,8.334,-0.195,-0.195,8.333,9.298,0.000999451
9.258,8.351,-0.195,-0.195,8.35,9.258,0.000999451
9.189,8.341,-0.193,-0.194,8.34,9.188,0.00173142
9.127,8.338,-0.191,-0.191,8.338,9.126,0.000999451
9.323,8.597,-0.202,-0.203,8.596,9.322,0.00173141
9.315,8.644,-0.202,-0.203,8.643,9.314,0.00173141
9.322,8.705,-0.204,-0.204,8.704,9.321,0.00141344
9.313,8.752,-0.205,-0.205,8.751,9.312,0.00141344
9.45,8.991,-0.213,-0.213,8.99,9.449,0.00141344
9.453,9.051,-0.215,-0.216,9.05,9.452,0.00173142
9.442,9.098,-0.215,-0.216,9.097,9.442,0.00141383
9.461,9.144,-0.217,-0.217,9.143,9.461,0.000999451
9.469,9.21,-0.218,-0.218,9.209,9.468,0.00141344
9.453,9.253,-0.219,-0.219,9.252,9.452,0.00141411
9.539,9.454,-0.225,-0.225,9.454,9.538,0.000999451
8.401,8.383,-0.176,-0.176,8.383,8.4,0.000999451
8.375,8.41,-0.176,-0.176,8.409,8.374,0.00141344
9.471,9.535,-0.226,-0.226,9.534,9.47,0.00141344
9.465,9.589,-0.227,-0.227,9.588,9.464,0.00141344
9.46,9.644,-0.228,-0.229,9.643,9.459,0.00173142
9.469,9.714,-0.23,-0.231,9.713,9.468,0.00173142
9.459,9.765,-0.231,-0.232,9.765,9.458,0.00141382
